Time_s,Ground_Truth,Classical_Sensor_Steps_1_2,Quantum_Sensor_Steps_1_2,Classical_w_Env_Step_3,Quantum_w_Env_Step_3,Classical_ADC_SAR_Step_4,Quantum_ADC_DS_Step_4
2.7,0.293892626146252,0.282697561523422,1.10309039313234,0.306029743497314,1.14109250039057,3.26590643820561,3.29999999999999
2.701,0.231176555902557,0.235185754229437,0.270636349584251,0.259341694349614,0.30710500914682,3.22662340631437,3.29999999999999
2.702,0.166999410781462,0.122430290039642,0.196417946812191,0.147040618515981,0.233606922414702,3.11583514182232,3.29999999999999
2.703,0.101578520100126,0.13736018845072,0.133841574357944,0.161745968453877,0.168881308909071,2.87794767815818,3.29999999999999
2.704,0.0351385713393344,0.000978863141897671,0.00157211705873802,0.0271430124301428,0.0388174451599508,2.47884871997965,3.29999999999999
2.705,-0.0320895214577753,-0.0977142813989121,-0.0650030399480814,-0.0716394817556377,-0.0280383816875661,1.76481559264358,3.29999999999999
2.706,-0.0998697850980506,-0.0416474805696209,-0.0775260356991241,-0.0182248381573807,-0.041282826565236,0.581920328093352,3.29999999999999
2.707,-0.167962383970891,-0.153219849971285,-0.114824285134808,-0.130097096654349,-0.0791500391068369,0,3.29999999999999
2.708,-0.236124839443162,-0.243797700537524,-0.232225097490271,-0.220461772955434,-0.198406035056892,0,3.29999999999999
2.709,-0.304113265129083,-0.312250867059435,-0.269135186842762,-0.288870392565998,-0.234427918934989,0,3.29999999999999
2.71,-0.371683611157061,-0.396203140469029,-0.332693316023428,-0.372407839661024,-0.297427198933879,0,3.29999999999999
2.711,-0.438592910502449,-0.375866110228847,-0.394525365388257,-0.351839461178178,-0.354942618574659,0,3.29999999999999
2.712,-0.504600520443315,-0.458024481073277,-0.542675334132075,-1.08921204809946,-0.503701133332516,0,3.29999999999999
2.713,-0.569469352222007,-0.545920065562536,-0.631297989549517,-0.523008344670432,3.12267783414937,0,3.29999999999999
2.714,-0.632967082061689,-0.647254807178338,-0.683709675309454,-0.623840357993271,-0.649607021727361,0,3.29999999999999
2.715,-0.69486733679036,-0.625885431280493,-0.686714119036683,-0.600895901340474,-0.65043876726839,0,3.29999999999999
2.716,-0.754950847468824,-0.776457802913561,-0.775299182809825,-0.753888258603476,-0.736237110549094,0,3.29999999999999
2.717,-0.813006564597655,-0.783260957003891,-0.831384559677227,-0.76031647986304,-0.795537668984343,0,3.29999999999999
2.718,-0.868832728696086,-0.909518350001862,-0.894412593312959,-0.885184122933659,-0.85412937740037,0,3.29999999999999
2.719,-0.922237890296054,-0.932898948967675,-0.962695106522303,-0.910377762580356,-0.924936967498151,0,3.29999999999999
2.72,-0.973041873680344,-0.986565800484716,-1.0415253750225,-0.962863738543351,-1.00674994818997,0,3.29999999999999
2.721,-1.02107667901155,-0.975167013929157,-0.934438133077149,-0.95417102016291,-0.898042094934233,0,3.29999999999999
2.722,-1.06618731784549,-1.04512965317009,-1.0737336871608,-1.02253401524232,-1.03953963788047,0,3.29999999999999
2.723,-1.10823257739925,-1.11129297546268,-1.05016542167443,-1.08697366738162,-1.00971751831341,0,3.29999999999999
2.724,-1.14708570934591,-1.16964623062027,-1.16268688846275,-1.14761261087066,-1.12224817024968,0,3.29999999999999
2.725,-1.18263503933411,-1.20528773600333,-1.11931745866932,-1.1818188791308,-1.08440230284986,0,3.29999999999999
2.726,-1.21478449387873,-1.17817771595728,-1.21914086299239,-1.15666481997554,-1.17941337053264,0,3.29999999999999
2.727,-1.24345404173438,-1.28484549742131,-1.19191786844328,-1.25985725250169,-1.15689017582901,0,3.29999999999999
2.728,-1.26858004734737,-1.34584897431964,-1.300936733685,-1.32238122610917,-1.26093464258943,0,3.29999999999999
2.729,-1.29011553447759,-1.31412479275385,-1.22911035992057,-1.28907974886346,-1.1913142690559,0,3.29999999999999
2.73,-1.30803035858908,-1.208119552505,-1.36093664433329,-1.1822950149677,-1.32159020641733,0,3.29999999999999
2.731,-1.32231128712287,-1.24571875408785,-1.31040413713229,-1.2207949729179,-1.27405071338545,0,3.29999999999999
2.732,-1.33296198728611,-1.28095043088041,-1.40743598589435,-1.2584433763313,-1.37472292942069,0,3.29999999999999
2.733,-1.34000292151263,-1.34633775929893,-1.39419849072594,-1.32241129330375,-1.35493789110702,0,3.29999999999999
2.734,-1.34347115127217,-1.33889090260161,-1.35291936848553,-1.31513058524165,-1.31499792096679,0,3.29999999999999
2.735,-1.34342005042138,-1.34232024956584,-1.37032348414216,-1.31572875119936,-1.33196339396983,0,3.29999999999999
2.736,-1.33991892980078,-1.28008159059951,-1.32679522890722,-1.25610562516711,-1.28809288880091,0,3.29999999999999
2.737,-1.33305257528189,-1.3603724954496,-1.38559489740345,-1.33823923938912,-1.35033198398319,0,3.29999999999999
2.738,-1.32292070195656,-1.30029529690961,-1.33640015294044,-1.27462460112715,-1.29866334475167,0,3.29999999999999
2.739,-1.30963732763332,-1.2003492966336,-1.33801971069039,-1.17259294776864,-1.29867506750212,0,3.29999999999999
2.74,-1.29333006925951,-1.31546216751909,-1.26026578242819,-1.29244757911971,-1.22339429753366,0,3.29999999999999
2.741,-1.2741393663223,-1.23790067796494,-1.2795234667672,-1.21511590950706,-1.24797952394556,0,3.29999999999999
2.742,-1.25221763569203,-1.30309102072913,-1.24771893233048,-1.27870283781665,-1.20699357494287,0,3.29999999999999
2.743,-1.22772836275664,-1.18819820701797,-1.1476257566161,-1.16284960724559,-1.10971167653882,0,3.29999999999999
2.744,-1.20084513405417,-1.15673639504373,-1.16526719280767,-1.13161841828536,-1.12869084720192,0,3.29999999999999
2.745,-1.17175061693748,-1.11220097903025,-1.15843306649792,-1.08645199710593,-1.12150141843691,0,3.29999999999999
2.746,-1.14063549210301,-1.09345402064494,-1.06078280190937,-1.06954651044179,4.47569692399197,0,3.29999999999999
2.747,-1.1076973450778,-1.04799775464383,-1.09647999271471,-1.02393281966517,-1.06094861267634,0,3.29999999999999
2.748,-1.07313952298866,-1.10498394112332,-1.06959784742549,-1.08360215279638,-1.02944811288172,0,3.29999999999999
2.749,-1.03716996312972,-0.98065426795608,-0.965692619408732,-0.955849956489274,-0.923857874117236,0,3.29999999999999
2.75,-1.00000000000001,-1.04168324485488,-1.01085005142019,-1.01812223063077,-0.971225662137854,0,3.29999999999999
2.751,-0.96184315760179,-1.03236806188212,-0.998150858805035,-1.00974416573426,-0.955861024326411,0,3.29999999999999
2.752,-0.922913933867913,-0.895309336449303,-1.00013464135587,-0.868949844096787,-0.960016694053859,0,3.29999999999999
2.753,-0.883426584128404,-0.954881943274169,-1.02812304544425,-0.931224669239679,-0.992909508202954,0,3.29999999999999
2.754,-0.843593910525986,-0.817179293218694,-0.828871232374243,-0.790860063720637,-0.793685869537233,0,3.29999999999999
2.755,-0.80362606425282,-0.865142628692097,-0.767113797362984,-0.83906958189986,-0.726571914555186,0,3.29999999999999
2.756,-0.763729367403238,-0.732065205498121,-0.824603364886859,-0.706136527209283,-0.786377752214748,0,3.29999999999999
2.757,-0.724105161120879,-0.758436226634665,0.0829050727073046,-0.734336516559137,0.12504299292943,0,3.29999999999999
2.758,-0.684948686565272,-0.682888271749646,-0.665017051270645,-0.658446114316069,-0.626874499714046,0,3.29999999999999
